                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.44445,                0.27827,                0.78485,                0.95086,                0.86244,                0.91744,                0.82828,                0.32155,                0.21288,                0.79161,                0.00571,                0.00571,                0.00571
                     67,                0.44197,                0.27685,                0.78384,                0.95192,                0.86155,                0.91722,                 0.8231,                0.32064,                 0.2114,                 0.7922,               0.005644,               0.005644,               0.005644
                     68,                0.44159,                0.27672,                0.78525,                0.95683,                0.86336,                0.91948,                0.83117,                0.31689,                0.21198,                0.79156,               0.005578,               0.005578,               0.005578
                     69,                0.44035,                0.27302,                0.78398,                0.95814,                0.86248,                0.92144,                0.83263,                 0.3151,                0.20806,                0.79063,               0.005512,               0.005512,               0.005512
                     70,                0.43386,                 0.2711,                0.78205,                0.95661,                0.86402,                0.92306,                0.83288,                 0.3157,                0.20655,                0.79112,               0.005446,               0.005446,               0.005446
                     71,                0.43658,                0.27006,                0.78355,                0.95717,                0.86389,                0.91959,                0.83096,                0.31101,                0.20695,                0.79105,                0.00538,                0.00538,                0.00538
                     72,                0.43269,                0.26979,                0.78357,                0.95422,                0.86372,                 0.9202,                0.82812,                 0.3115,                 0.2058,                0.79092,               0.005314,               0.005314,               0.005314
                     73,                0.43358,                0.26859,                0.78329,                0.95846,                0.86222,                0.92187,                0.83387,                0.31196,                0.20553,                0.79063,               0.005248,               0.005248,               0.005248
                     74,                 0.4288,                0.26553,                0.78149,                0.95724,                0.86426,                0.92082,                0.83245,                0.30807,                0.20412,                 0.7904,               0.005182,               0.005182,               0.005182
                     75,                0.42618,                0.26368,                0.78075,                0.95742,                0.86366,                0.92152,                0.83558,                0.31183,                0.20368,                0.79006,               0.005116,               0.005116,               0.005116
                     76,                0.42592,                0.26327,                0.78083,                 0.9579,                0.86421,                  0.921,                0.83116,                0.30659,                0.20143,                0.79036,                0.00505,                0.00505,                0.00505
                     77,                0.42227,                0.26177,                0.78124,                0.95392,                0.86282,                0.92074,                0.83335,                0.30392,                0.19969,                0.78962,               0.004984,               0.004984,               0.004984
                     78,                0.42127,                 0.2593,                0.78054,                0.95603,                0.86356,                0.92117,                 0.8334,                0.30676,                0.19897,                0.78984,               0.004918,               0.004918,               0.004918
                     79,                0.42093,                0.25852,                0.77991,                0.95935,                0.86162,                0.92075,                 0.8361,                0.30689,                0.19996,                0.78969,               0.004852,               0.004852,               0.004852
                     80,                0.42358,                0.25949,                 0.7814,                0.95703,                0.86571,                0.92154,                0.83593,                0.30615,                0.19934,                0.78971,               0.004786,               0.004786,               0.004786
                     81,                0.41631,                0.25558,                0.78056,                0.95797,                0.86541,                  0.921,                0.83779,                0.30587,                0.19898,                0.78958,                0.00472,                0.00472,                0.00472
                     82,                0.41345,                0.25518,                   0.78,                0.95543,                0.86351,                0.92182,                0.83637,                0.30048,                0.19849,                0.78922,               0.004654,               0.004654,               0.004654
                     83,                0.41397,                0.25476,                0.78081,                0.95549,                0.86728,                0.92192,                0.84104,                0.30046,                0.19736,                0.78858,               0.004588,               0.004588,               0.004588
                     84,                0.41713,                0.25351,                0.77988,                0.95745,                0.86311,                0.92152,                0.84095,                0.30181,                0.19797,                0.78926,               0.004522,               0.004522,               0.004522
                     85,                0.40633,                0.24954,                 0.7786,                0.95802,                0.86587,                0.92255,                0.84091,                0.29813,                0.19469,                 0.7887,               0.004456,               0.004456,               0.004456
                     86,                0.40652,                0.24867,                0.77904,                0.95609,                0.86616,                0.92193,                0.84248,                0.30091,                0.19621,                0.78912,                0.00439,                0.00439,                0.00439
                     87,                 0.4063,                 0.2493,                0.77846,                0.95909,                0.86506,                 0.9233,                0.84286,                0.29693,                0.19354,                0.78891,               0.004324,               0.004324,               0.004324
